real_x,real_y,im_x,im_y
170.2,-280.5,592,63
84.25,-279.45,527,62
-42.85,-281.2,421,65
-180,-286.7,307,72
-312.8,-281.1,201,65
-285.8,-513.9,37,70
-501.8,-445.6,49,202
-321.5,-432.5,198,185
-183.5,-432.8,307,188
-35.5,-436.6,427,192
95.7,-440.7,532,192
171.6,-439.6,596,190
168.6,-590.5,592,312
70.8,-597.7,516,318
-42.3,-596.8,421,317
-186.8,-609.4,311,331
-312.38,-609.46,199,334
-483.2,-604.1,62,331
-326.4,-759.4,192,455
-185.6,-751.1,310,448
-40.1,-751.1,422,447
85.9,-747.9,529,439
175.38,-758.8,595,445
